"date","lat","lon","region","site","band_id","species","sex","ageclass","mass","Massinacuracy","forearm","ear","repro_status","Comments","capture_time","release_time","month","season"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0113","Myotis lucifugus","Female","Adult",9.699999809,NA,40.59999847,11.5,"LAC",NA,"23:10","0:22",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0150","Myotis lucifugus","Female","Adult",8.600000381,NA,38.59999847,13,"LAC",NA,"23:54","1:04",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0296","Myotis lucifugus","Female","Adult",8.199999809,NA,38.20000076,13,"LAC",NA,"23:57","1:06",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0658","Myotis lucifugus","Female","Adult",9,NA,40,13,"LAC",NA,"23:10","0:25",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0659","Myotis lucifugus","Female","Adult",8.5,NA,39,12,"LAC",NA,"23:10","0:39",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0660","Myotis lucifugus","Female","Adult",8.899999619,NA,40,12,"LAC",NA,"23:38","0:41",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0661","Myotis lucifugus","Female","Adult",8.399999619,NA,39.40000153,11,"LAC",NA,"23:20","0:48",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0662","Myotis lucifugus","Female","Adult",8.399999619,NA,39.59999847,12,"LAC",NA,"23:27","0:58",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0663","Myotis lucifugus","Female","Adult",9.199999809,NA,40.20000076,12,"LAC",NA,"23:23","0:59",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0664","Myotis lucifugus","Female","Adult",8.300000191,NA,37.90000153,12,"NOP",NA,"23:26","1:01",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0665","Myotis lucifugus","Female","Adult",8.199999809,NA,38.79999924,12,"LAC",NA,"0:07","1:10",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0667","Myotis lucifugus","Female","Adult",8.300000191,NA,38.40000153,12,"LAC",NA,"23:40","1:13",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0668","Myotis lucifugus","Female","Adult",7.900000095,NA,38.29999924,13,"LAC",NA,"23:29","1:22",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0669","Myotis lucifugus","Female","Adult",8.800000191,NA,38.79999924,12,"LAC",NA,"23:30","1:31",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0670","Myotis lucifugus","Female","Adult",9,NA,38.59999847,12,"LAC",NA,"23:30","1:33",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0671","Myotis lucifugus","Female","Adult",8.699999809,NA,40.20000076,13,"LAC",NA,"23:34","1:37",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0672","Myotis lucifugus","Female","Adult",7.599999905,NA,38.20000076,12,"LAC",NA,"23:36","1:40",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0673","Myotis lucifugus","Female","Adult",8.199999809,NA,39.40000153,12,"LAC",NA,"23:43","1:43",7,"Summer"
2012-07-11,60.09,-112.25,"Salt River","Thebacha cabins","UC0674","Myotis lucifugus","Female","Adult",9.100000381,NA,39.90000153,12,"LAC",NA,"23:44","1:46",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0053","Myotis lucifugus","Female","Adult",8.800000191,NA,39.20000076,13,"LAC",NA,"22:55- 23:35","23:43",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0071","Myotis lucifugus","Female","Adult",10.89999962,NA,39.79999924,13,"LAC","milk","22:55- 23:35","0:42",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0417","Myotis lucifugus","Female","Adult",10.39999962,NA,38.5,13,"LAC","milk","22:55- 23:35","0:11",7,"Summer"
