Night_date,Latitude,Longitude,Region,Site,BandID,Species,Sex,Ageclass,Massg,Massinacuracy,Forearmlengthmm,Earlengthmm,Reproductivestatus,Comments,Capturetime,Releasetime
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0702,Myotis lucifugus,Male,Juvenile,7.900000095,,39,12,JUV,,22:55- 23:35,0:52
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0703,Myotis lucifugus,Male,Juvenile,6.900000095,,38.20000076,12,JUV,,22:55- 23:35,0:54
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0704,Myotis lucifugus,Female,Juvenile,7.199999809,,39.09999847,13,JUV,tick behind right ear,22:55- 23:35,0:57
7/18/12,60.09,-112.25,Salt River,Thebacha cabins,UC0705,Myotis lucifugus,Male,Juvenile,7.199999809,,37.40000153,12,JUV,,23:35,0:59
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0176,Myotis lucifugus,Female,Adult,10.39999962,,40,13,LAC,,0:40,1:24
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0188,Myotis lucifugus,Female,Adult,9.199999809,,39.20000076,14,NOP,,23:58,1:08
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0195,Myotis lucifugus,Female,Adult,9.699999809,,40.40000153,13,NOP,,0:38,1:16
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0197,Myotis lucifugus,Female,Adult,10.89999962,,38.70000076,12,LAC,bare back,0:40,1:28
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0214,Myotis lucifugus,Female,Adult,8.199999809,,36.40000153,12,NOP,,0:40,1:26
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0443,Myotis lucifugus,Female,Adult,10,,38.90000153,12,NOP,"1 x 6 m behind shower building, 1 x 9 m in forest - open at 11:25",23:58,1:05
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0444,Myotis lucifugus,Female,Adult,9.699999809,,38.20000076,11,PREG,milk,0:38,1:22
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0641,Myotis lucifugus,Female,Adult,9.300000191,,41.29999924,12,NOP,,0:15,1:13
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0646,Myotis lucifugus,Female,Adult,9.399999619,,40.5,13,NOP,fleas,0:15,1:15
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0651,Myotis lucifugus,Female,Adult,10.39999962,,39.40000153,12,PREG,feels like early preg,23:58,1:11
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0654,Myotis lucifugus,Female,Adult,8.100000381,,36.5,13,NOP,,23:58,1:06
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0736,Myotis lucifugus,Female,Adult,12.30000019,,40.5,13,LAC,,0:53,1:56
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0737,Myotis lucifugus,Female,Adult,10.39999962,,38.09999847,13,LAC,expressed milk,0:53,1:54
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0738,Myotis lucifugus,Female,Adult,10,,39.29999924,12,NOP,,0:48,1:52
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0739,Myotis lucifugus,Female,Adult,9.5,,38.79999924,12,NOP,,0:38,1:50
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0740,Myotis lucifugus,Female,Adult,9.699999809,,40,14,NOP,,0:38,1:50
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0741,Myotis lucifugus,Male,Adult,8,,36.79999924,12,,,0:30,1:46
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0742,Myotis lucifugus,Female,Adult,9.800000191,,39.90000153,,NOP,,0:30,1:44
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0743,Myotis lucifugus,Female,Adult,9.699999809,,40.59999847,14,NOP,,0:15,1:43
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0744,Myotis lucifugus,Female,Adult,10.5,,40,12,NOP,,0:10,1:42
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0745,Myotis lucifugus,Female,Adult,8.899999619,,39,13,NOP,,0:08,1:40
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0746,Myotis lucifugus,Female,Adult,9.399999619,,40.59999847,12,LAC,,23:58,1:39
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0747,Myotis lucifugus,Female,Adult,8.600000381,,38.20000076,13.5,NOP,fleas,23:58,1:38
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0748,Myotis lucifugus,Female,Adult,9.300000191,,40,12,NOP,,23:58,1:35
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0749,Myotis lucifugus,Female,Adult,8.600000381,,38.79999924,11,NOP,,23:58,1:33
7/19/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0750,Myotis lucifugus,Female,Adult,10.60000038,,38.59999847,14,LAC,milk,0:38,1:18
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0168,Myotis lucifugus,Female,Adult,9.300000191,,39.79999924,13,LAC,milk,23:50,0:08
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0183,Myotis lucifugus,Female,Adult,11.89999962,*,,,LAC,Full belly; bald on back,0:40,2:00
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0638,Myotis lucifugus,Female,Adult,8.899999619,,39.09999847,12,NOP,,23:51,0:12
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0716,Myotis lucifugus,Male,Adult,10.39999962,,40,13,,,0:40,2:04
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0717,Myotis lucifugus,Female,Adult,9.399999619,*,38,13,NOP,Full belly,0:58,2:01
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0718,Myotis lucifugus,Female,Adult,11.80000019,*,39.90000153,12,LAC,Full belly,0:40,1:58
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0719,Myotis lucifugus,Female,Adult,10.5,,41,12,NOP,,0:40,1:56
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0720,Myotis lucifugus,Male,Adult,9.800000191,*,41,14,,Full belly,0:40,1:54
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0721,Myotis lucifugus,Female,Adult,10,*,39.79999924,13,LAC,Full belly,0:40,1:51
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0722,Myotis lucifugus,Female,Adult,11.39999962,*,41.5,14,LAC,"Full belly; milk, smallish nips",0:40,1:49
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0723,Myotis lucifugus,Female,Adult,11.19999981,,39,11,NOP,,0:30,1:47
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0724,Myotis lucifugus,Female,Adult,9.800000191,,39.90000153,13,LAC,,0:30,1:46
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0725,Myotis lucifugus,Female,Adult,11.10000038,,40.5,11,LAC,,0:20,1:45
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0726,Myotis lucifugus,Male,Adult,8.800000191,,38.5,14,,,0:20,1:42
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0727,Myotis lucifugus,Female,Adult,10.19999981,,41,13,LAC,,0:30,1:39
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0728,Myotis lucifugus,Female,Adult,9.199999809,,40,12,NOP,,0:20,1:18
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0729,Myotis lucifugus,Female,Adult,9.5,,40.5,14,NOP,,0:20,1:16
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0730,Myotis lucifugus,Female,Adult,10,*,39.5,12,LAC,"Full belly; white spots on wings, looks like ticks",0:20,1:14
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0731,Myotis lucifugus,Female,Adult,10.69999981,,41.5,12,LAC,measured forearm with ruler,0:20,1:12
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0732,Myotis lucifugus,Female,Adult,9.699999809,,39.90000153,12,NOP,,23:50,1:10
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0733,Myotis lucifugus,Female,Adult,9.199999809,,39.79999924,12,LAC,,23:39,0:06
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0734,Myotis lucifugus,Female,Adult,9.600000381,,40.70000076,14,LAC,little milk,23:26,0:05
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0735,Myotis lucifugus,Female,Adult,10,,40.90000153,11,LAC,"milk; rain, started at 00:40, lightning and thunder, downpour started at 1:00",23:44,0:00
7/24/12,60.96,-117.33,Kakisa,Lady Evelyn Falls Campground,UC0741,Myotis lucifugus,Male,Adult,6.400000095,,,,,wing punch of male we borrowed last time at Kakisa,,
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0754,Myotis lucifugus,Female,Adult,8.399999619,,40,12,NOP,,23:13,1:44
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0755,Myotis lucifugus,Male,Adult,7.5,,38.09999847,12,,,23:13,1:40
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0756,Myotis lucifugus,Female,Adult,8.5,,39.09999847,12,NOP,,23:12,1:38
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0757,Myotis lucifugus,Male,Adult,7.400000095,,36.59999847,12,,,23:12,1:35
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0758,Myotis lucifugus,Male,Adult,7.900000095,,39.20000076,12,,,23:12,1:34
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0759,Myotis lucifugus,Male,Adult,8,,38.20000076,13,,,23:12,1:32
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0760,Myotis lucifugus,Male,Adult,9.800000191,,39.09999847,12,,,23:12,1:30
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0761,Myotis lucifugus,Male,Adult,7.099999905,,37.79999924,13,,,23:11,1:23
