D:\Agilent\ICPMH\1\DATA\Rachel Johnson\PC_LGH_20230328_#2.b\PCBN_PCBO_PCBP.d
Intensity Vs Time,CPS
Acquired      : 2023-03-28 16:42:53 using Batch PC_LGH_20230328_#2.b
Time [Sec],Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137
251.5630,13834.90,29322.37,825657.38,28591.49,5267.40,18889.66,1040.03
252.5379,11353.30,26651.82,742043.44,25877.61,5450.79,18419.18,1250.04
253.5127,13204.46,25383.43,774453.86,27773.61,4767.27,19630.43,1100.03
254.4875,13884.93,29088.68,765193.18,27893.79,4820.62,19620.42,1680.08
255.4629,14065.06,28554.55,793960.63,28250.99,5124.03,17648.43,1280.05
256.4377,13584.72,27987.05,853120.40,29446.14,4960.65,18259.02,1220.04
257.4126,11533.40,26818.71,781844.81,27466.51,5057.35,20171.01,1020.03
258.3880,11043.12,26451.54,761205.88,26515.16,4877.30,21902.98,11423.68
259.3628,12794.19,25016.28,708199.76,25119.92,4480.53,17167.98,1000.03
260.3377,10722.94,27486.32,811957.64,27903.81,4707.26,19830.64,1210.04
261.3125,12433.96,28053.81,839993.18,28598.17,4653.91,18459.22,960.03
262.2879,11763.54,26918.85,752090.06,26962.45,4800.61,19820.63,1110.03
263.2627,10933.06,25717.21,809003.27,28284.37,5470.79,20791.70,1350.05
264.2376,13454.63,27586.47,869289.08,27610.04,4853.96,21122.07,1320.05
265.2129,14155.13,32894.82,806674.82,27807.00,4820.62,19169.95,820.02
266.1878,11113.16,24549.01,778131.59,28197.57,4827.29,18479.24,990.03
267.1626,12153.78,25516.94,779033.74,27206.13,5000.66,21072.01,1070.03
268.1380,13464.64,29489.29,818736.67,27850.39,4663.91,20771.67,1390.05
269.1128,13444.63,30090.22,809802.69,27860.41,5384.10,20231.08,1170.04
270.0877,11683.49,32527.53,850229.64,28411.23,4873.96,19089.86,1350.05
271.0625,13034.35,32594.31,827118.25,29559.64,5180.71,21132.08,1360.05
272.0379,11433.34,24782.65,769458.81,26348.25,3153.60,8371.90,430.01
273.0127,3180.26,5734.19,438521.27,15342.86,600.01,780.02,30.00
