"Run_ID","Sample_type","Capture_date","Section","Sex","FL_cm","CWT","CWT_Release_Location","CWT_Hatchery_Location","CWT_Age","Age_all","Known_Origin","region_mean","region_sd","grouped_classification","simplified_classification","AME","BAT","BUT","CNH","DEE","FEA","FRH","MEH","MER","MIL","MOH","MOK","NIH","PUC","SAC","STA","THE","TUO","YUB"
"PC_2016_10_B3_72L.run","Adult","2016-12-29","B","Male","82.23","N/A","N/A","N/A",NA,3,"",0.7072211035,0.000123510570068665,"FRH","Hatchery","0","0","0","0","0","0","0.912","0","0","0","0.002","0.082","0","0","0","0","0","0","0.004"
"PC_2016_10_C1_20L.run","Adult","2016-12-15","A","Female","61","60663","MARE ISLAND NET PEN","NIH",2,2,"NIH",0.70995580125,4.01609881809087e-05,"NIH","Hatchery","0.126","0","0","0","0","0","0","0.018","0.014","0","0","0","0.842","0","0","0","0","0","0"
"PC_2016_10_C2_48L.run","Adult","2016-12-22","A","Female","72.04","N/A","N/A","N/A",NA,2,"",0.707257259642857,3.63366623838878e-05,"FRH","Hatchery","0","0","0","0","0","0","0.814","0","0","0","0.132","0.048","0","0","0","0","0","0.002","0.004"
"PC_2016_10_C3_73L.run","Adult","2016-12-29","B","Female","75.25","60589","SAN JOAQ SHERMAN ISL NET PEN","MOH",3,3,"MOH",0.707368251034483,2.25259766467851e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.298","0","0","0","0.672","0.01","0","0","0","0","0","0.01","0.01"
"PC_2016_11_A1_95L.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.707091677142857,2.70582137516324e-05,"FRHMOK","Unknown","0","0","0","0","0","0","0.688","0","0","0","0","0.312","0","0","0","0","0","0","0"
"PC_2016_11_A2_110L.run","Adult","2016-11-28","A","Unknown","N/A","N/A","N/A","N/A",NA,2,"",0.70735542125,4.78976148153501e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.324","0","0","0","0.646","0.01","0","0","0","0","0","0.01","0.01"
"PC_2016_11_B1_100L.run","Adult","2016-12-03","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707177508461538,4.96229167778239e-05,"FRH","Hatchery","0","0","0","0","0","0","0.92","0","0","0","0","0.078","0","0","0","0","0","0","0.002"
"PC_2016_11_C1_108L.run","Adult","2016-11-29","A","Female","N/A","N/A","N/A","N/A",NA,2,"",0.707386009333333,4.55639234587335e-05,"FRHMOH","Hatchery","0","0","0","0","0","0","0.248","0","0","0","0.716","0.01","0","0","0","0","0","0.014","0.012"
"PC_2016_11_C2_120L.run","Adult","2016-12-05","A","Female","N/A","N/A","N/A","N/A",NA,3,"",0.708610252,4.61199016574135e-05,"MEH","Hatchery","0","0","0","0","0","0","0","0.866","0.076","0","0","0","0.002","0","0","0","0","0","0.056"
"PC_2016_09_A2.run","Juvenile","2017-05-10","RST","N/A","0.97","N/A","N/A","N/A",NA,NA,"",0.706256877,2.5157249263912e-05,"FEAPUC","Wild","0","0","0","0","0","0.216","0","0","0","0","0","0","0","0.778","0","0.006","0","0","0"
"PC_2016_09_A3.run","Juvenile","2017-05-10","RST","N/A","0.92","N/A","N/A","N/A",NA,NA,"",0.706240062653061,3.8361228624287e-05,"FEAPUC","Wild","0","0","0","0","0","0.676","0","0","0","0","0","0","0","0.322","0","0.002","0","0","0"
